,ROI_0,ROI_6,ROI_14,ROI_30
0,-0.9851778883658373,-0.8915402747622253,-0.8058707656835425,-0.6968265155154175
1,inf,inf,inf,inf
2,0.0,0.0,0.0,0.0
3,-1.0,-0.983013781512605,-0.9427408403361345,-0.725018487394958
4,-0.9914485271460578,-0.962185630543535,-0.9175973433999325,-0.8298560795506856
5,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0
7,-1.0,-1.0,-1.0,-1.0
8,0.0,0.0,0.0,0.0
9,-0.977169089591886,-0.5085249939628114,0.048466553972469795,1.0989136923448481
10,0.0,0.0,0.0,0.0
11,-1.0,-1.0,-1.0,-1.0
12,-0.9878665500825804,-0.9437665209365588,-0.9385581657437093,-0.9116375012144176
13,-0.983539707536558,-0.9496233970753656,-0.8208287964004501,-0.6312035995500569
14,-1.0,-0.9772584638329604,-0.9641361173253791,-0.7625924931643051
15,-0.9966866111422394,-0.9844645514202415,-0.9779126259508638,-0.9688609363178504
16,0.0,0.0,0.0,0.0
17,-0.958580716934487,-0.6815993572311484,-0.3720813844252203,0.03511622579316942
18,-0.9025481481481481,-0.9025481481481481,-0.9025481481481481,-0.9025481481481481
19,inf,inf,inf,inf
20,-0.9995250541516245,-0.9990501083032491,-0.9985751624548737,-0.9985751624548737
21,-0.9784435967302453,-0.9784435967302453,-0.9784435967302453,-0.9724550408719346
22,-1.0,-1.0,-1.0,-1.0
23,-1.0,-1.0,-1.0,-1.0
24,inf,inf,inf,inf
25,-0.9957423892579305,-0.988149337501332,-0.9732720826968847,-0.9569962559056516
26,-0.9951411821239788,-0.9945089860643921,-0.9860557424315233,-0.967457760691975
27,-0.9984333561925661,-0.9924033465916884,-0.9899906185708408,-0.9401537237690303
28,-0.9948574751259852,-0.9741998190980747,-0.9645370461299909,-0.9214777102984882
29,-1.0,-1.0,-1.0,-1.0
30,0.0,inf,inf,inf
31,-0.989767852381605,-0.9471376135358395,-0.8974021155978623,-0.8355321762749024
32,-0.9949215963709024,-0.9818577523356915,-0.9352881352270886,-0.8350198412269807
33,inf,inf,inf,inf
34,0.0,0.0,0.0,0.0
35,-0.954608098663926,-0.8104644604316547,-0.6259330729701955,-0.38673677286742025
36,inf,inf,inf,inf
37,inf,inf,inf,inf
38,inf,inf,inf,inf
39,0.0,inf,inf,inf
40,-0.9819133039945837,-0.9576797901150982,-0.9292745429925524,-0.8807241029113069
41,inf,inf,inf,inf
42,-1.0,-1.0,-1.0,-1.0
43,-0.9972267507886435,-0.9936234700315457,-0.9936234700315457,-0.9936234700315457
44,-1.0,-1.0,-1.0,-1.0
45,0.0,0.0,0.0,0.0
46,-0.9887171590145134,-0.9586841618222803,-0.939386854905683,-0.8968094989520307
47,-0.9963472387543253,-0.9931820807381776,-0.9842517554786621,-0.9779604152249135
48,-0.9901147853588205,-0.9426212114165234,-0.908444487853278,-0.8272142380974525
49,-0.9990016721527321,-0.9827425279789335,-0.9541273206056616,-0.9085893482554313
50,-0.8589827160493827,0.8244246913580247,6.125501234567902,9.384543209876544
51,-0.9917795834306298,-0.9336669542814923,-0.8656164820904267,-0.739083262578043
52,-0.9931919967346468,-0.9550458858255056,-0.913682112610065,-0.8316906377019669
53,-1.0,-1.0,-1.0,-1.0
54,-0.9933147070907503,-0.9367906093741916,-0.8878941442497021,-0.809320379934447
55,-0.6876977777777777,-0.6876977777777777,-0.6876977777777777,-0.5596088888888889
56,-0.9854052770739231,-0.9243887848408067,-0.86512414894789,-0.7433393522088799
57,-0.9955593172119488,-0.9824200284495022,-0.9774141678520626,-0.9598917780938834
58,-0.9818766403013183,-0.9570586516007533,-0.9223293107344632,-0.8658923088512241
59,-0.9372478388585817,-0.9324545530843474,-0.9324545530843474,-0.8623093579521611
60,-0.9912263473053893,-0.9648966067864272,-0.9648966067864272,-0.9648966067864272
61,-0.9988094117647058,-0.9231652488687783,-0.89529592760181,-0.8355793665158371
62,-0.9994084532374101,-0.9994084532374101,-0.9994084532374101,-0.9994084532374101
63,-0.9899441900533448,-0.9623551505914317,-0.9176641198104768,-0.8148958881415461
64,-0.9993928934010152,-0.9973644670050762,-0.996351269035533,-0.980117766497462
65,-1.0,-1.0,-1.0,-0.9643481081081081
66,-0.9898352215021078,-0.9395429487453625,-0.8765135801669313,-0.7741701773719951
67,0.0,0.0,0.0,0.0
68,-0.9922924134547209,-0.9485088984183891,-0.9412358973330918,-0.8841092505957577
69,-0.9916065586049931,-0.9691374296157229,-0.9586191976709855,-0.9354045888073735
70,-0.9914035445813936,-0.9160816422176928,-0.8578370109723961,-0.7482999931858438
71,-0.9967182294611673,-0.9484211107699567,-0.9054279357632374,-0.834854432060949
72,-0.9977317643947807,-0.9785728433985943,-0.9646672706007899,-0.9245235909846305
73,-0.9997462552928877,-0.9704698564628799,-0.953581736511739,-0.9172652555525705
74,-0.987684445051068,-0.8908449843438229,-0.7352670217984862,-0.48919712671225546
75,-0.9902598120181068,-0.9088204311586546,-0.788960246126712,-0.7376170836157467
76,-0.9896532486976379,-0.9449110880983195,-0.9109659303506624,-0.8693423233238224
77,-0.9914892694664891,-0.912019592861707,-0.8446316167228238,-0.7697923925217305
78,-0.9957878344511418,-0.9520189408412645,-0.8938148491799586,-0.7948054462145588
79,0.0,0.0,0.0,0.0
80,0.0,0.0,0.0,0.0
81,0.0,0.0,0.0,0.0
82,inf,inf,inf,inf
83,0.0,0.0,0.0,0.0
84,0.0,0.0,0.0,0.0
85,0.0,0.0,0.0,0.0
86,inf,inf,inf,inf
87,0.0,0.0,0.0,0.0
88,0.0,0.0,0.0,0.0
89,-0.9759955115171792,-0.9456787131643288,-0.9061669283232533,-0.8597578278213877
90,-0.9870528638316978,-0.947752857417741,-0.9340426143287794,-0.9094120967224681
91,0.0,0.0,0.0,0.0
92,inf,inf,inf,inf
93,inf,inf,inf,inf
94,0.0,0.0,0.0,inf
95,inf,inf,inf,inf
96,0.0,0.0,0.0,0.0
97,-1.0,-0.8630030105777055,-0.7003059397884459,-0.4709429617575268
98,-0.9968225340136054,-0.9440487244897959,-0.9008129251700681,-0.8494381235827666
99,-1.0,-0.9815981029810298,-0.8831033875338753,-0.7187353658536584
100,0.0,0.0,0.0,0.0
101,0.0,0.0,0.0,0.0
102,0.0,0.0,0.0,0.0
103,-0.9569187330803681,-0.8343848355257639,-0.7265711854812027,-0.5141775279261438
104,-0.9627379343528376,-0.8933565406581446,-0.8306362209995599,-0.6939403778163626
105,0.0,0.0,0.0,0.0
106,0.0,0.0,0.0,0.0
107,0.0,inf,inf,inf
108,0.0,0.0,0.0,0.0
109,0.0,inf,inf,inf
110,-0.9810087656529517,-0.8543469687934808,-0.7148907573047102,-0.37745400516796124
111,-0.9852119207129301,-0.8770214406918146,-0.732188572841115,-0.4336676060114738
112,-0.98452602430065,-0.9431089573325798,-0.8956855608929076,-0.8313235942356598
113,0.0,0.0,0.0,0.0
114,-0.9993017159119444,-0.9922709969029881,-0.9766222147819537,-0.9693311124131582
115,-0.9946523372651813,-0.9812344837629241,-0.9787368574341051,-0.9636825396825397
116,-0.9557037037037037,-0.9093925925925925,-0.9034864197530864,-0.8393185185185184
117,-0.9965560209424084,-0.9965560209424084,-0.9274806282722513,-0.9274806282722513
118,-0.9801606104161121,-0.9099001330849081,-0.8488626741194211,-0.7714507816520283
119,inf,inf,inf,inf
120,0.0,0.0,0.0,0.0
121,-0.9426442290142061,-0.7610449591046079,-0.6436384123977588,-0.487233432630211
122,inf,inf,inf,inf
123,-0.9926237066997194,-0.943300242822247,-0.8689557077724863,-0.7489683606236542
124,-0.8770553780617678,-0.5732679446219384,-0.3556577209797659,0.3473348242811467
125,0.0,0.0,0.0,0.0
126,-0.9138639135588271,-0.6733933657430471,-0.5848264820572725,-0.2855451531444868
127,-1.0,-1.0,-1.0,-1.0
128,-1.0,-1.0,-1.0,-1.0
