,id_partner,Cost_14,Cost_30,Cost_60
0,0,0.0,0.0,0.0
141,ad4date_mobile,,,
142,adsimilis_signup,0.0,0.0,0.0
143,adw_ls,,,
145,browser_link,0.0,0.0,0.0
147,cpamatica_autoreg,,,
149,cpamatica_email_mobile,,,
150,cpamatica_email_not_valid,0.0,0.0,0.0
154,cpamatica_notvalid,,,
156,cpl_seo,0.0,0.0,0.0
140,ac_u,,,
158,email_partner1_not_valid,,,
160,exo_au/nz_mob,,,
161,exo_ca,,,
162,exo_ca_mob,,,
163,exo_uk,,,
164,exo_uk_mob,,,
165,exo_usa,0.0,0.0,0.0
166,exo_usa_mob,0.0,0.0,0.0
167,g2m_usa_mob,,,
168,ls_clickbooth_email,,,
159,exo_au/nz,,,
138,ac_Matomy_internal,,,
137,Youmi_Mobile,,,
136,Youmi,,,
100,Maroola,0.0,0.0,0.0
101,Maroola_email,,,
102,Matomy,0.0,0.0,0.0
105,Matomy_mobile_not_valid,0.0,0.0,0.0
107,MaxBounty_email,,,
110,Mobytize,0.0,0.0,0.0
111,Mobytize_mobile,0.0,0.0,0.0
112,MundoMedia_mobile,0.0,0.0,0.0
113,MundoMedia_non_adult_not_valid,0.0,0.0,0.0
115,Peerfly,0.0,0.0,0.0
118,Primedemand_not_valid,,,
119,Rainmaker,,,
120,Rainmaker_cpc,,,0.45
121,Rainmaker_email,,,
244,vt_dbm_mob,,,
123,Rainmaker_mobile_not_valid,,,
124,Secco,,,
128,Shift44_not_valid,,,
129,Slingads,0.0,0.0,0.0
130,Slingads_mobile,,,
132,W4_non_adult_not_valid,0.0,0.0,0.0
172,ls_evolution,,,
173,ls_evolution_email,,,
174,mdsp_usa_mob,,,
175,mob_Adsimilis_internal,,,
217,vd_Crakrevenue_email,,,
220,vd_Matomy_internal_email,,12.0,12.0
222,vd_Rainmaker,,,
223,vd_Rainmaker_email,,,
224,vd_Rainmaker_mobile,,,
227,vd_adsterra,,,
228,vd_evolutioncpa,,,
229,vd_evolutioncpa_mobile_email,,,
231,vh_adsterra,0.0,0.0,0.0
232,vh_mgid,,,
233,vh_nu,,0.0,0.0
234,vh_nu_f,0.0,0.0,0.0
235,vh_nuu,0.0,0.0,0.0
236,vh_rtx,,,
237,vh_s,0.0,0.0,0.0
238,vh_s_f,0.0,0.0,0.0
239,vh_u,,,
240,vh_u_f,,,
241,vh_uk,0.0,0.0,0.0
242,vh_uk_f,,,
243,vh_uu,0.0,0.0,0.0
216,vd_Crakrevenue,,,
99,Hootmobi_mobile,0.0,0.0,0.0
