,chanel,logins
0,10,6.826708463949843
1,13,24.233333333333334
2,14,1.0
3,15,7.712082262210797
4,29,5.623598578069456
5,305,5.0
6,309,2.0
7,32,2.749003984063745
8,34,2.1621621621621623
9,37,7.462363189635917
10,48,
11,52,9.5
12,7,10.45144694533762
13,7click_email,10.704923076923077
14,8,7.0651785714285715
15,9,7.463540738099483
16,AC Matomy_internal,19.6
17,AC iDrive_email,10.618876262626262
18,ADC,3.4722388059701492
19,ALEX,8.558568329718005
20,Ad4Date,4.793453724604966
21,Ad4Date_mobile,3.930091185410334
22,Ad4date,2.019607843137255
23,Ad4date_mobile,3.4285714285714284
24,Adcash,3.441896418448853
25,Adsimilis,3.956223175965665
26,Adtrafico,9.53864168618267
27,Adtrafico_mobile,6.9855748833262625
28,Advidi,6.465964343598055
29,Advidi_email,7.683168316831683
30,Adwords,23.17751479289941
31,Affileaxe,6.105392889154467
32,Affiliaxe_mobile,5.67649599012955
33,Alex_mobile,13.211764705882352
34,AsiaCharm,2.0
35,Beeclick,13.559432933478735
36,Beeclick0,4.962962962962963
37,Beeclick1,8.020809248554913
38,Beeclick1_mobile,8.918994413407821
39,Beeclick_adult,5.5398550724637685
40,Beeclick_mobile,5.465493601462523
41,BrowserLink,27.275
42,CPAFull,5.866279069767442
43,CPAFull_email,3.4
44,CPAFull_mobile,3.2687224669603525
45,CPAPlus,1.293956043956044
46,CPATrend,7.377847794474067
47,CPATrend_mobile,6.404423380726699
48,CPAmatica,7.460985537369013
49,CPAmatica mix,8.15414710485133
50,CPAmatica9,18.390604026845637
51,CPAmatica_email,11.030179314761448
52,CPAmatica_email_mobile,11.090808588219321
53,CPAmatica_mix,
54,CPAmatica_mobile,9.56149895309508
55,CPL CEO,3.081081081081081
56,Clickbooth,6.622220575155648
57,Clickbooth_US,6.836814621409921
58,Clickbooth_email,7.706846673095468
59,Clickbooth_mobile,6.210586443259711
60,Clickbooth_nordic,7.785714285714286
61,Clickbooth_rier1,5.238979118329467
62,Clickbooth_tier1,4.433333333333334
63,Clickdealer,6.73671920607122
64,Clickdealer_mobile,7.069620253164557
65,Crakrevenue_email,2.901098901098901
66,DBM,10.569617916692303
67,DBM VB,3.6666666666666665
68,DBM_AU/NZ,10.147747747747747
69,DBM_AU/NZ_mob,7.3772749631087065
70,DBM_CA,11.027487747709355
71,DBM_CA_mob,11.272852972806882
72,DBM_FR/GE,12.364380757420676
73,DBM_FR/GE_mob,9.933573207860503
74,DBM_Scand,12.487941534713764
75,DBM_Scand_mob,9.608763693270735
76,DBM_UK,7.110709318497914
77,DBM_UK_mob,9.066825321275584
78,DBM_mob,10.975197245107013
79,DigitalRaves,1.3636363636363635
80,DigitalReves,1.3674321503131524
81,EXO AUNZ_Mob,2.0
82,EXO VH,3.928682170542636
83,EXO VH AU / NZ,1.48
84,EXO VH CA_Mob,3.0588235294117645
85,EXO VH Canada,13.6
86,EXO VH Mob,4.2299044406970205
87,EXO VH UK,1.641025641025641
88,EXO VH UK_Mob,3.2413793103448274
89,EnvyusMedia,4.927649930264993
90,Envyus_mobile,5.198406862745098
91,Evoleads,1.598862343572241
92,FB,12.030918727915195
93,Hitwe_mobile,8.210293187091331
94,Hootmobi,1.89851150202977
