,chanel,visits
0,10,7.4424667836550515
1,13,12.933333333333334
2,14,0.0
3,15,8.460154241645244
4,29,5.45611156685808
5,305,2.5
6,309,0.0
7,32,2.4860557768924303
8,34,2.5135135135135136
9,37,7.368773732410096
10,48,0.0
11,52,24.0
12,7,14.67652733118971
13,7click_email,13.512923076923077
14,8,9.51607142857143
15,9,7.893273942093542
16,AC Matomy_internal,31.4
17,AC iDrive_email,7.58125
18,ADC,7.444776119402985
19,ALEX,20.40184381778742
20,Ad4Date,8.48194130925508
21,Ad4Date_mobile,7.591691995947315
22,Ad4date,3.3333333333333335
23,Ad4date_mobile,6.714285714285714
24,Adcash,3.3273242338398146
25,Adsimilis,8.058682223747427
26,Adtrafico,19.752927400468383
27,Adtrafico_mobile,15.370810352142554
28,Advidi,10.354727677667544
29,Advidi_email,9.891089108910892
30,Adwords,28.189349112426036
31,Affileaxe,9.616252147285085
32,Affiliaxe_mobile,9.326835286859962
33,Alex_mobile,28.374424552429666
34,AsiaCharm,0.0
35,Beeclick,13.681917211328976
36,Beeclick0,3.6666666666666665
37,Beeclick1,14.975722543352601
38,Beeclick1_mobile,9.974860335195531
39,Beeclick_adult,8.726811594202898
40,Beeclick_mobile,9.710694698354661
41,BrowserLink,6.4875
42,CPAFull,17.155172413793103
43,CPAFull_email,3.6103286384976525
44,CPAFull_mobile,5.711790393013101
45,CPAPlus,1.315934065934066
46,CPATrend,12.578143930215653
47,CPATrend_mobile,11.444654683065279
48,CPAmatica,13.472342451523545
49,CPAmatica mix,10.939567595728054
50,CPAmatica9,16.001340482573728
51,CPAmatica_email,13.90299223937915
52,CPAmatica_email_mobile,13.833940898161794
53,CPAmatica_mix,0.0
54,CPAmatica_mobile,16.871186501333046
55,CPL CEO,5.882404181184669
56,Clickbooth,9.899136941141608
57,Clickbooth_US,7.421006944444445
58,Clickbooth_email,9.735067437379577
59,Clickbooth_mobile,10.725370863446177
60,Clickbooth_nordic,11.627906976744185
61,Clickbooth_rier1,6.3325635103926095
62,Clickbooth_tier1,6.948132780082988
63,Clickdealer,10.809996110462855
64,Clickdealer_mobile,11.42751713231418
65,Crakrevenue_email,5.532608695652174
66,DBM,12.970374700055375
67,DBM VB,42.0
68,DBM_AU/NZ,13.355555555555556
69,DBM_AU/NZ_mob,14.331037875061485
70,DBM_CA,11.266567227786064
71,DBM_CA_mob,14.938085727454293
72,DBM_FR/GE,14.268850221767314
73,DBM_FR/GE_mob,15.756711873789095
74,DBM_Scand,12.010475030450669
75,DBM_Scand_mob,14.644757433489827
76,DBM_UK,11.58442280945758
77,DBM_UK_mob,12.549547834364589
78,DBM_mob,16.523691207881086
79,DigitalRaves,3.0
80,DigitalReves,1.3079331941544885
81,EXO AUNZ_Mob,1.75
82,EXO VH,10.252713178294574
83,EXO VH AU / NZ,4.6
84,EXO VH CA_Mob,6.911764705882353
85,EXO VH Canada,8.476923076923077
86,EXO VH Mob,10.965711073636875
87,EXO VH UK,3.051282051282051
88,EXO VH UK_Mob,9.46551724137931
89,EnvyusMedia,9.219490934449093
90,Envyus_mobile,8.029779411764705
91,Evoleads,1.2051865332120109
92,FB,12.53886925795053
93,Hitwe_mobile,14.409129154396298
94,Hootmobi,4.411605937921728
95,Hootmobi_mobile,2.783843763870395
96,Ilya Alex,65.0
97,LS CPAmatica,13.492813141683778
98,LS CPAmatica email,15.824223358238301
99,LS CPAmatica mobile,21.545343137254903
100,LS Clickbooth email,31.0
101,LS Evolution,0.0
102,LS Evolution email,0.0
103,LosPollos,6.474397449123136
104,LosPollos_mobile,8.865578546350937
105,LoveSwans,37.88505747126437
106,MDSP VB,0.0
