,period,chanel
0,0,TF VB
1,44,TF VB Mob
2,63,ADC
3,52,W4_mobile
4,0,W4
5,74,W4_mobile
6,163,W4
7,130,W4
8,67,W4
9,0,W4_mobile
10,30,W4_mobile
11,9,W4_mobile
12,143,W4_mobile
13,12,W4
14,5,W4
15,0,W4
16,55,W4
17,2,Mobidea
18,44,MaxBounty
19,17,MaxBounty
20,1,MaxBounty
21,5,MaxBounty
22,80,MaxBounty
23,15,MaxBounty
24,4,MaxBounty
25,44,MaxBounty
26,52,MaxBounty_mobile
27,0,MaxBounty_mobile
28,0,MaxBounty
29,85,MaxBounty
30,0,W4_mobile
31,13,W4_mobile
32,7,W4_mobile
33,123,W4_mobile
34,48,W4_mobile
35,0,W4_mobile
36,0,W4_mobile
37,80,W4_mobile
38,114,W4_mobile
39,36,W4_mobile
40,90,W4_mobile
41,57,W4_mobile
42,149,W4_mobile
43,8,W4_mobile
44,0,W4_mobile
45,77,W4
46,0,13
47,81,13
48,4,Affiliaxe_mobile
49,18,W4
50,1,W4
51,10,W4
52,0,W4
53,3,W4_mobile
54,1,W4_mobile
55,5,W4_mobile
56,21,W4_mobile
57,12,W4_mobile
58,13,W4_mobile
59,3,W4_mobile
60,7,W4_mobile
61,3,W4_mobile
62,0,W4_mobile
63,7,W4_mobile
64,0,W4_mobile
65,97,W4_mobile
66,2,W4_mobile
67,0,W4_mobile
68,10,W4
69,4,W4
70,17,W4
71,0,W4
72,74,W4
73,177,W4_mobile
74,5,W4_mobile
75,41,W4_mobile
76,28,W4_mobile
77,0,W4_mobile
78,2,W4_mobile
79,24,W4_mobile
80,56,W4_mobile
81,44,W4_mobile
82,40,W4_mobile
83,177,W4_mobile
84,61,W4_mobile
85,70,W4_mobile
86,1,W4_mobile
87,59,W4_mobile
88,5,W4_mobile
89,13,W4_mobile
90,59,W4_mobile
91,0,W4_mobile
92,136,W4_mobile
93,153,W4_mobile
94,0,W4_mobile
95,2,W4_mobile
96,75,W4_mobile
97,86,W4_mobile
98,12,W4_mobile
99,47,W4_mobile
100,1,W4_mobile
101,14,W4_mobile
102,129,W4_mobile
103,10,W4_mobile
104,12,W4_mobile
105,7,W4_mobile
106,1,W4_mobile
107,2,W4_mobile
108,1,W4_mobile
109,38,W4_mobile
110,85,W4_mobile
111,107,W4_mobile
112,53,W4_mobile
113,1,W4_mobile
114,116,W4_mobile
