,chanel,retention
41,BrowserLink,0.8
198,RT Serarch Mobile top2,0.8333333333333334
226,VB G2M Mobile USA,0.8461538461538461
223,Test,0.9047619047619048
134,RT Bing Desktop tier2 Marriage,0.9090909090909091
225,VB Desktop GDN,0.9090909090909091
247,VD Hootmobi,0.91324200913242
103,LosPollos,0.9175810434836975
87,EXO VH UK,0.9230769230769231
274,VH Bing Mobile tier1 Marriage,0.932475884244373
48,CPAmatica,0.9336191218498311
264,VH Bing Desktop tier1 Marriage,0.9375
56,Clickbooth,0.9405573673287875
277,VH Bing Mobile tier2 Marriage,0.9439655172413793
35,Beeclick,0.9487459105779716
108,Maroola_email,0.9491525423728814
211,Slingads,0.9496124031007752
279,VH Bing Mobile top2 Ethnic,0.9523809523809523
94,Hootmobi,0.9553450608930988
123,Primedemand,0.956072193331294
249,VD Matomy_internal_email,0.9602649006622517
29,Advidi_email,0.9603960396039604
22,Ad4date,0.9607843137254902
111,Matomy_mobile,0.9618798840015054
188,RT Search Mobile top3,0.9626865671641791
36,Beeclick0,0.9629629629629629
92,FB,0.9637809187279152
162,RT Female,0.9641025641025641
235,VD Affiliaxe mobile,0.9642857142857143
40,Beeclick_mobile,0.9643510054844607
270,VH Bing Desktop top6 Ethnic,0.9655172413793104
25,Adsimilis,0.9656652360515021
206,Rainmaker_mobile,0.9664804469273743
82,EXO VH,0.9666666666666667
115,Mobidea,0.9670930573186213
366,iDrive,0.9672884283246977
213,TF Test,0.9673042341016839
178,RT Search Desktop top6,0.9677093844601413
13,7click_email,0.968
131,RT Bing Desktop tier1 Marriage,0.9683995922528033
89,EnvyusMedia,0.9684449093444909
203,Rainmaker,0.9693877551020408
216,TF VB POP,0.9695185766614338
126,RT Bing Desktop BrandAd,0.9695238095238096
79,DigitalRaves,0.9696969696969697
104,LosPollos_mobile,0.9700455665944573
133,RT Bing Desktop tier2 Ethnic,0.9701492537313433
20,Ad4Date,0.9706546275395034
327,VH Search Desktop Brand ads,0.9718757087775005
18,ADC,0.9725373134328358
231,VD Adsterra,0.9727891156462585
265,VH Bing Desktop tier2,0.9733924611973392
248,VD Hootmobi_mobile,0.9740608228980322
365,cpamatica_mobile_adult,0.9743935309973046
262,VH Bing Desktop tier1,0.9744094488188977
32,Affiliaxe_mobile,0.9745835903763109
86,EXO VH Mob,0.9747048903878583
246,VD EvolutionCpa,0.975
31,Affileaxe,0.9750522856289214
90,Envyus_mobile,0.975735294117647
