,chanel,week_3,week_2,week_1,week_52,week_51
0,10,240924.0,281076.0,280963.0,275991.0,189967.0
1,13,1782.0,2079.0,2079.0,2079.0,1485.0
2,14,270.0,315.0,315.0,315.0,225.0
3,15,11658.0,13597.0,13597.0,13594.0,9710.0
4,29,219059.0,255575.0,255568.0,255528.0,182492.0
5,305,30.0,35.0,33.0,10.0,0.0
6,309,30.0,35.0,35.0,35.0,25.0
7,32,7530.0,8785.0,8785.0,8394.0,4743.0
8,34,3330.0,3885.0,3885.0,3885.0,2775.0
9,37,134090.0,156411.0,156410.0,152514.0,97907.0
10,48,,,,,
11,52,60.0,70.0,70.0,70.0,50.0
12,7,46622.0,54387.0,54376.0,54376.0,38840.0
13,7click_email,97374.0,113603.0,113366.0,111308.0,77539.0
14,8,33582.0,39179.0,39179.0,39179.0,27985.0
15,9,336018.0,392017.0,390658.0,377951.0,257603.0
16,AC Matomy_internal,150.0,175.0,175.0,175.0,125.0
17,AC iDrive_email,473929.0,552885.0,552880.0,552890.0,394927.0
18,ADC,50238.0,58611.0,58611.0,58611.0,41865.0
19,ALEX,55254.0,64463.0,64463.0,64463.0,46045.0
20,Ad4Date,26562.0,30989.0,30989.0,30989.0,22135.0
21,Ad4Date_mobile,29574.0,34503.0,34503.0,34503.0,24645.0
22,Ad4date,1530.0,1785.0,1785.0,1785.0,1275.0
23,Ad4date_mobile,210.0,245.0,245.0,245.0,175.0
24,Adcash,116298.0,135686.0,133689.0,118914.0,75395.0
25,Adsimilis,174564.0,203654.0,203651.0,203651.0,145464.0
26,Adtrafico,25602.0,29869.0,29869.0,29869.0,21335.0
27,Adtrafico_mobile,70650.0,82425.0,82425.0,82425.0,58875.0
28,Advidi,147945.0,172603.0,172602.0,172590.0,123260.0
29,Advidi_email,3030.0,3535.0,3535.0,3535.0,2525.0
30,Adwords,5100.0,5950.0,5947.0,5919.0,4205.0
31,Affileaxe,400840.0,467633.0,467632.0,467631.0,334020.0
32,Affiliaxe_mobile,243030.0,283535.0,283535.0,283535.0,202525.0
33,Alex_mobile,58578.0,68341.0,68341.0,68341.0,48815.0
34,AsiaCharm,30.0,35.0,35.0,35.0,25.0
35,Beeclick,27510.0,32095.0,32095.0,32095.0,22915.0
36,Beeclick0,798.0,931.0,931.0,931.0,665.0
37,Beeclick1,25884.0,30198.0,30198.0,30200.0,21572.0
38,Beeclick1_mobile,10728.0,12516.0,12516.0,12516.0,8940.0
